Data Venda	Nome Cliente	Item	Preço Unitário	Quantidade	Desconto	 Valor Total 	Valor Desconto	 Valor Líquido 
05/12/2009	Cliente O78	CT1301	139,9	104	D00	 14.549,60 	0%	 14.549,60 
05/05/2009	Cliente O24	CT1055	109,9	143	D02	 15.715,70 	10%	 14.144,13 
31/10/2009	Cliente O268	BL1016	189,9	180	D00	 34.182,00 	0%	 34.182,00 
03/02/2009	Cliente O512	CA1544	219,9	150	D00	 32.985,00 	0%	 32.985,00 
26/05/2009	Cliente O550	LE1532	49,9	34	D00	 1.696,60 	0%	 1.696,60 
24/04/2009	Cliente O573	SP1539	169,9	77	D00	 13.082,30 	0%	 13.082,30 
02/02/2009	Cliente O287	LE1508	39,9	239	D05	 9.536,10 	25%	 7.152,08 
28/10/2009	Cliente O417	SP1175	169,9	39	D00	 6.626,10 	0%	 6.626,10 
11/09/2009	Cliente O145	CT1066	109,9	203	D00	 22.309,70 	0%	 22.309,70 
25/09/2009	Cliente O159	BL1826	189,9	209	D01	 39.689,10 	5%	 37.704,65 
28/11/2009	Cliente O179	SP1770	129,9	39	D00	 5.066,10 	0%	 5.066,10 
16/05/2009	Cliente O572	RL1547	219,9	191	D00	 42.000,90 	0%	 42.000,90 
16/11/2009	Cliente O40	ME1236	39,9	70	D03	 2.793,00 	15%	 2.374,05 
04/05/2009	Cliente O445	SP1218	89,9	231	D03	 20.766,90 	15%	 17.651,87 
25/02/2009	Cliente O23	CA1659	219,9	76	D03	 16.712,40 	15%	 14.205,54 
22/06/2009	Cliente O434	OC1629	450,9	153	D05	 68.987,70 	25%	 51.740,78 
24/01/2009	Cliente O387	LE1298	39,9	105	D00	 4.189,50 	0%	 4.189,50 
19/07/2009	Cliente O590	BL1518	219,09	179	D00	 39.217,11 	0%	 39.217,11 
01/04/2009	Cliente O415	SP1506	169,9	39	D03	 6.626,10 	15%	 5.632,19 
03/01/2009	Cliente O175	SP1633	169,9	176	D02	 29.902,40 	10%	 26.912,16 
04/08/2009	Cliente O335	ME1569	39,9	125	D00	 4.987,50 	0%	 4.987,50 
02/11/2009	Cliente O542	ME1096	49,9	49	D00	 2.445,10 	0%	 2.445,10 
06/12/2009	Cliente O561	ME1499	39,9	98	D01	 3.910,20 	5%	 3.714,69 
07/06/2009	Cliente O452	RL1249	199,9	160	D05	 31.984,00 	25%	 23.988,00 
25/11/2009	Cliente O274	BL1867	219,09	82	D05	 17.965,38 	25%	 13.474,04 
21/05/2009	Cliente O452	RL1272	199,9	26	D00	 5.197,40 	0%	 5.197,40 
21/12/2009	Cliente O623	MO1307	189,9	210	D02	 39.879,00 	10%	 35.891,10 
30/03/2009	Cliente O621	SP1307	159,9	124	D00	 19.827,60 	0%	 19.827,60 
06/09/2009	Cliente O302	CA1476	169,9	216	D00	 36.698,40 	0%	 36.698,40 
30/09/2009	Cliente O363	CA1476	169,9	54	D00	 9.174,60 	0%	 9.174,60 
01/04/2009	Cliente O292	SP1307	159,9	87	D00	 13.911,30 	0%	 13.911,30 
22/02/2009	Cliente O197	ME1872	39,9	39	D04	 1.556,10 	20%	 1.244,88 
20/04/2009	Cliente O584	SP1009	109,9	180	D00	 19.782,00 	0%	 19.782,00 
03/09/2009	Cliente O567	SP1770	129,9	175	D00	 22.732,50 	0%	 22.732,50 
02/12/2009	Cliente O391	ME1254	39,9	198	D00	 7.900,20 	0%	 7.900,20 
20/12/2009	Cliente O101	SP1991	129,9	197	D00	 25.590,30 	0%	 25.590,30 
05/11/2009	Cliente O194	LE1720	39,9	130	D00	 5.187,00 	0%	 5.187,00 
10/07/2009	Cliente O554	BL1826	189,9	42	D00	 7.975,80 	0%	 7.975,80 
29/07/2009	Cliente O170	BL1196	179,9	72	D00	 12.952,80 	0%	 12.952,80 
14/08/2009	Cliente O165	RL1788	269,9	51	D04	 13.764,90 	20%	 11.011,92 
08/12/2009	Cliente O514	BL1954	179,9	55	D00	 9.894,50 	0%	 9.894,50 
30/03/2009	Cliente O135	MO1609	269,9	223	D04	 60.187,70 	20%	 48.150,16 
30/05/2009	Cliente O461	SP1068	129,9	193	D00	 25.070,70 	0%	 25.070,70 
22/08/2009	Cliente O169	OC1814	290,9	165	D02	 47.998,50 	10%	 43.198,65 
17/09/2009	Cliente O178	BL1214	169,9	139	D04	 23.616,10 	20%	 18.892,88 
21/09/2009	Cliente O224	CT1060	159,9	96	D00	 15.350,40 	0%	 15.350,40 
03/03/2009	Cliente O2	RL1510	199,9	63	D01	 12.593,70 	5%	 11.964,02 
18/06/2009	Cliente O371	CA1506	169,9	178	D04	 30.242,20 	20%	 24.193,76 
06/01/2009	Cliente O221	SP1539	169,9	33	D00	 5.606,70 	0%	 5.606,70 
24/03/2009	Cliente O635	CT1976	159,9	219	D00	 35.018,10 	0%	 35.018,10 
26/06/2009	Cliente O506	OC1197	290,9	19	D00	 5.527,10 	0%	 5.527,10 
16/01/2009	Cliente O603	BL1214	169,9	99	D03	 16.820,10 	15%	 14.297,09 
29/09/2009	Cliente O170	LE1216	49,9	46	D00	 2.295,40 	0%	 2.295,40 
27/11/2009	Cliente O404	ME1918	49,9	95	D04	 4.740,50 	20%	 3.792,40 
01/10/2009	Cliente O446	MO1104	219,9	207	D02	 45.519,30 	10%	 40.967,37 
15/09/2009	Cliente O405	SP1009	109,9	85	D01	 9.341,50 	5%	 8.874,43 
12/06/2009	Cliente O609	MO1329	289,9	28	D00	 8.117,20 	0%	 8.117,20 
17/05/2009	Cliente O228	BL1301	189,9	238	D00	 45.196,20 	0%	 45.196,20 
08/11/2009	Cliente O559	CA1881	219,9	27	D00	 5.937,30 	0%	 5.937,30 
23/12/2009	Cliente O160	ME1770	49,9	230	D00	 11.477,00 	0%	 11.477,00 
05/07/2009	Cliente O498	SP1991	129,9	232	D00	 30.136,80 	0%	 30.136,80 
13/02/2009	Cliente O76	LE1350	49,9	114	D00	 5.688,60 	0%	 5.688,60 
22/03/2009	Cliente O69	BL1604	219,09	200	D00	 43.818,00 	0%	 43.818,00 
01/04/2009	Cliente O570	RL1173	269,9	32	D01	 8.636,80 	5%	 8.204,96 
31/08/2009	Cliente O198	SP1911	159,9	154	D00	 24.624,60 	0%	 24.624,60 
08/05/2009	Cliente O217	SP1231	89,9	125	D00	 11.237,50 	0%	 11.237,50 
10/12/2009	Cliente O569	RL1146	309,9	115	D02	 35.638,50 	10%	 32.074,65 
18/12/2009	Cliente O299	ME1234	39,9	195	D00	 7.780,50 	0%	 7.780,50 
13/12/2009	Cliente O578	ME1263	49,9	211	D00	 10.528,90 	0%	 10.528,90 
08/05/2009	Cliente O155	ME1924	39,9	238	D00	 9.496,20 	0%	 9.496,20 
09/10/2009	Cliente O27	OC1109	259,9	176	D00	 45.742,40 	0%	 45.742,40 
27/02/2009	Cliente O364	CA1224	129,9	226	D00	 29.357,40 	0%	 29.357,40 
22/03/2009	Cliente O214	CT1533	109,9	198	D04	 21.760,20 	20%	 17.408,16 
04/01/2009	Cliente O509	LE1157	49,9	12	D02	 598,80 	10%	 538,92 
25/07/2009	Cliente O479	SP1384	89,9	147	D05	 13.215,30 	25%	 9.911,48 
09/02/2009	Cliente O549	SP1900	89,9	139	D02	 12.496,10 	10%	 11.246,49 
23/12/2009	Cliente O416	BL1745	219,09	161	D00	 35.273,49 	0%	 35.273,49 
20/02/2009	Cliente O571	SP1497	89,9	201	D04	 18.069,90 	20%	 14.455,92 
17/09/2009	Cliente O303	RL1146	309,9	143	D00	 44.315,70 	0%	 44.315,70 
17/11/2009	Cliente O252	ME1233	49,9	177	D05	 8.832,30 	25%	 6.624,23 
16/11/2009	Cliente O23	SP1788	109,9	23	D00	 2.527,70 	0%	 2.527,70 
05/02/2009	Cliente O594	BL1603	169,9	102	D00	 17.329,80 	0%	 17.329,80 
27/02/2009	Cliente O308	BL1480	269,9	69	D04	 18.623,10 	20%	 14.898,48 
15/12/2009	Cliente O158	SP1218	89,9	20	D00	 1.798,00 	0%	 1.798,00 
22/02/2009	Cliente O469	SP1601	109,9	222	D02	 24.397,80 	10%	 21.958,02 
15/04/2009	Cliente O540	ME1268	49,9	114	D00	 5.688,60 	0%	 5.688,60 
27/02/2009	Cliente O519	LE1443	49,9	48	D00	 2.395,20 	0%	 2.395,20 
