Data Venda	Nome Cliente	Item	Preço Unitário	Quantidade	Desconto	 Valor Total 	Valor Desconto	 Valor Líquido 
22/02/2012	Cliente O26	OC1005	450,9	250	D00	 112.725,00 	0%	 112.725,00 
09/11/2012	Cliente O575	BL1011	269,9	77	D03	 20.782,30 	15%	 17.664,96 
19/09/2012	Cliente O149	CA1648	169,9	238	D00	 40.436,20 	0%	 40.436,20 
29/04/2012	Cliente O233	CT1488	139,9	15	D00	 2.098,50 	0%	 2.098,50 
18/11/2012	Cliente O460	LE1216	49,9	11	D05	 548,90 	25%	 411,68 
05/05/2012	Cliente O638	MO1564	269,9	178	D00	 48.042,20 	0%	 48.042,20 
04/06/2012	Cliente O148	SP1216	169,9	204	D00	 34.659,60 	0%	 34.659,60 
18/10/2012	Cliente O53	MO1036	189,9	181	D00	 34.371,90 	0%	 34.371,90 
07/11/2012	Cliente O147	SP1384	89,9	50	D00	 4.495,00 	0%	 4.495,00 
28/10/2012	Cliente O232	SP1788	109,9	224	D00	 24.617,60 	0%	 24.617,60 
16/04/2012	Cliente O624	OC1776	290,9	175	D00	 50.907,50 	0%	 50.907,50 
16/12/2012	Cliente O1	SP1615	109,9	125	D00	 13.737,50 	0%	 13.737,50 
26/10/2012	Cliente O144	CA1720	169,9	158	D00	 26.844,20 	0%	 26.844,20 
19/10/2012	Cliente O464	RL1678	309,9	63	D00	 19.523,70 	0%	 19.523,70 
20/12/2012	Cliente O144	ME1236	39,9	236	D04	 9.416,40 	20%	 7.533,12 
02/09/2012	Cliente O230	RL1580	269,9	139	D00	 37.516,10 	0%	 37.516,10 
26/04/2012	Cliente O449	SP1601	109,9	89	D00	 9.781,10 	0%	 9.781,10 
09/10/2012	Cliente O411	CA1933	219,9	135	D01	 29.686,50 	5%	 28.202,18 
27/12/2012	Cliente O517	CA1164	169,9	233	D01	 39.586,70 	5%	 37.607,37 
12/12/2012	Cliente O390	ME1499	39,9	81	D00	 3.231,90 	0%	 3.231,90 
23/09/2012	Cliente O314	SP1218	89,9	121	D00	 10.877,90 	0%	 10.877,90 
19/10/2012	Cliente O603	ME1106	39,9	63	D00	 2.513,70 	0%	 2.513,70 
29/11/2012	Cliente O340	LE1360	39,9	48	D00	 1.915,20 	0%	 1.915,20 
21/11/2012	Cliente O291	SP1788	109,9	228	D00	 25.057,20 	0%	 25.057,20 
06/06/2012	Cliente O68	ME1858	49,9	241	D00	 12.025,90 	0%	 12.025,90 
30/10/2012	Cliente O417	MO1500	269,9	128	D01	 34.547,20 	5%	 32.819,84 
27/07/2012	Cliente O278	RL1436	309,9	179	D01	 55.472,10 	5%	 52.698,50 
30/12/2012	Cliente O526	ME1872	39,9	109	D05	 4.349,10 	25%	 3.261,83 
26/10/2012	Cliente O538	LE1759	39,9	23	D00	 917,70 	0%	 917,70 
13/01/2012	Cliente O449	LE1216	49,9	34	D05	 1.696,60 	25%	 1.272,45 
27/02/2012	Cliente O268	MO1556	219,9	181	D00	 39.801,90 	0%	 39.801,90 
11/06/2012	Cliente O254	CA1939	219,9	37	D00	 8.136,30 	0%	 8.136,30 
18/10/2012	Cliente O607	MO1992	269,9	54	D00	 14.574,60 	0%	 14.574,60 
23/06/2012	Cliente O111	BL1339	189,9	105	D00	 19.939,50 	0%	 19.939,50 
25/06/2012	Cliente O196	LE1720	39,9	60	D00	 2.394,00 	0%	 2.394,00 
06/01/2012	Cliente O31	LE1497	49,9	103	D00	 5.139,70 	0%	 5.139,70 
25/08/2012	Cliente O397	RL1246	309,9	218	D00	 67.558,20 	0%	 67.558,20 
14/05/2012	Cliente O589	SP1498	169,9	30	D00	 5.097,00 	0%	 5.097,00 
16/09/2012	Cliente O418	BL1603	169,9	147	D03	 24.975,30 	15%	 21.229,01 
15/07/2012	Cliente O39	SP1773	129,9	124	D00	 16.107,60 	0%	 16.107,60 
11/01/2012	Cliente O467	LE1360	39,9	243	D00	 9.695,70 	0%	 9.695,70 
21/12/2012	Cliente O460	OC1707	259,9	242	D05	 62.895,80 	25%	 47.171,85 
12/02/2012	Cliente O169	BL1106	269,9	235	D01	 63.426,50 	5%	 60.255,18 
17/08/2012	Cliente O166	ME1555	49,9	244	D05	 12.175,60 	25%	 9.131,70 
04/07/2012	Cliente O201	MO1850	219,9	216	D00	 47.498,40 	0%	 47.498,40 
02/03/2012	Cliente O354	LE1180	49,9	220	D05	 10.978,00 	25%	 8.233,50 
27/05/2012	Cliente O55	SP1328	89,9	156	D00	 14.024,40 	0%	 14.024,40 
07/12/2012	Cliente O106	LE1431	39,9	237	D00	 9.456,30 	0%	 9.456,30 
14/09/2012	Cliente O172	OC1512	279,9	183	D00	 51.221,70 	0%	 51.221,70 
24/09/2012	Cliente O429	ME1236	39,9	88	D05	 3.511,20 	25%	 2.633,40 
06/07/2012	Cliente O638	MO1392	219,9	216	D00	 47.498,40 	0%	 47.498,40 
19/12/2012	Cliente O573	MO1677	219,9	89	D00	 19.571,10 	0%	 19.571,10 
30/01/2012	Cliente O540	RL1174	309,9	239	D00	 74.066,10 	0%	 74.066,10 
11/07/2012	Cliente O121	RL1686	219,9	73	D04	 16.052,70 	20%	 12.842,16 
13/11/2012	Cliente O573	OC1814	290,9	19	D01	 5.527,10 	5%	 5.250,75 
23/03/2012	Cliente O425	MO1246	189,9	39	D00	 7.406,10 	0%	 7.406,10 
15/12/2012	Cliente O176	CA1939	219,9	127	D00	 27.927,30 	0%	 27.927,30 
19/11/2012	Cliente O535	ME1234	39,9	27	D00	 1.077,30 	0%	 1.077,30 
23/01/2012	Cliente O125	SP1257	109,9	211	D00	 23.188,90 	0%	 23.188,90 
02/12/2012	Cliente O89	OC1505	259,9	137	D00	 35.606,30 	0%	 35.606,30 
13/06/2012	Cliente O434	SP1991	129,9	25	D00	 3.247,50 	0%	 3.247,50 
07/03/2012	Cliente O351	SP1307	159,9	119	D00	 19.028,10 	0%	 19.028,10 
18/01/2012	Cliente O137	BL1684	179,9	22	D00	 3.957,80 	0%	 3.957,80 
19/04/2012	Cliente O341	ME1695	39,9	170	D00	 6.783,00 	0%	 6.783,00 
19/11/2012	Cliente O332	ME1533	39,9	168	D00	 6.703,20 	0%	 6.703,20 
04/01/2012	Cliente O373	ME1527	39,9	81	D00	 3.231,90 	0%	 3.231,90 
02/06/2012	Cliente O520	RL1686	219,9	59	D00	 12.974,10 	0%	 12.974,10 
08/11/2012	Cliente O431	LE1898	49,9	60	D04	 2.994,00 	20%	 2.395,20 
06/12/2012	Cliente O22	ME1936	39,9	69	D00	 2.753,10 	0%	 2.753,10 
02/01/2012	Cliente O11	SP1515	89,9	19	D00	 1.708,10 	0%	 1.708,10 
18/08/2012	Cliente O6	RL1436	309,9	171	D00	 52.992,90 	0%	 52.992,90 
05/06/2012	Cliente O601	MO1569	289,9	179	D00	 51.892,10 	0%	 51.892,10 
14/04/2012	Cliente O249	BL1123	219,09	171	D05	 37.464,39 	25%	 28.098,29 
24/09/2012	Cliente O630	SP1867	129,9	204	D00	 26.499,60 	0%	 26.499,60 
09/09/2012	Cliente O186	ME1499	39,9	37	D04	 1.476,30 	20%	 1.181,04 
03/02/2012	Cliente O519	BL1016	189,9	147	D04	 27.915,30 	20%	 22.332,24 
23/01/2012	Cliente O155	RL1524	219,9	99	D02	 21.770,10 	10%	 19.593,09 
11/06/2012	Cliente O546	CA1391	219,9	127	D00	 27.927,30 	0%	 27.927,30 
19/10/2012	Cliente O470	SP1857	159,9	85	D00	 13.591,50 	0%	 13.591,50 
23/08/2012	Cliente O487	BL1755	269,9	102	D00	 27.529,80 	0%	 27.529,80 
