Data Venda	Nome Cliente	Item	Preço Unitário	Quantidade	Desconto	 Valor Total 	Valor Desconto	 Valor Líquido 
06/09/2016	Cliente O86	ME1643	49,9	82	D00	 4.091,80 	0%	 4.091,80 
09/04/2016	Cliente O582	LE1532	49,9	165	D00	 8.233,50 	0%	 8.233,50 
23/07/2016	Cliente O647	BL1416	269,9	24	D00	 6.477,60 	0%	 6.477,60 
21/01/2016	Cliente O389	ME1266	49,9	158	D00	 7.884,20 	0%	 7.884,20 
06/09/2016	Cliente O520	LE1921	39,9	62	D00	 2.473,80 	0%	 2.473,80 
21/02/2016	Cliente O332	ME1582	49,9	104	D02	 5.189,60 	10%	 4.670,64 
19/06/2016	Cliente O228	SP1068	129,9	53	D00	 6.884,70 	0%	 6.884,70 
25/11/2016	Cliente O159	BL1301	189,9	143	D00	 27.155,70 	0%	 27.155,70 
25/03/2016	Cliente O384	CT1976	159,9	88	D00	 14.071,20 	0%	 14.071,20 
03/03/2016	Cliente O420	RL1065	309,9	50	D03	 15.495,00 	15%	 13.170,75 
20/09/2016	Cliente O456	BL1643	269,9	66	D00	 17.813,40 	0%	 17.813,40 
10/12/2016	Cliente O197	RL1931	269,9	218	D00	 58.838,20 	0%	 58.838,20 
17/05/2016	Cliente O355	MO1246	189,9	192	D00	 36.460,80 	0%	 36.460,80 
13/09/2016	Cliente O520	BL1352	269,9	97	D00	 26.180,30 	0%	 26.180,30 
19/11/2016	Cliente O470	SP1175	169,9	84	D00	 14.271,60 	0%	 14.271,60 
09/03/2016	Cliente O144	SP1995	89,9	60	D00	 5.394,00 	0%	 5.394,00 
31/01/2016	Cliente O600	MO1494	189,9	62	D00	 11.773,80 	0%	 11.773,80 
28/08/2016	Cliente O107	RL1839	309,9	72	D04	 22.312,80 	20%	 17.850,24 
21/05/2016	Cliente O351	MO1566	219,9	27	D01	 5.937,30 	5%	 5.640,44 
28/05/2016	Cliente O376	SP1153	89,9	161	D00	 14.473,90 	0%	 14.473,90 
15/04/2016	Cliente O345	SP1104	109,9	89	D05	 9.781,10 	25%	 7.335,83 
30/04/2016	Cliente O214	CA1268	169,9	118	D00	 20.048,20 	0%	 20.048,20 
25/12/2016	Cliente O550	MO1416	189,9	100	D03	 18.990,00 	15%	 16.141,50 
18/05/2016	Cliente O119	CA1544	219,9	30	D00	 6.597,00 	0%	 6.597,00 
07/05/2016	Cliente O285	BL1623	219,09	166	D00	 36.368,94 	0%	 36.368,94 
08/03/2016	Cliente O613	RL1451	199,9	249	D05	 49.775,10 	25%	 37.331,33 
31/10/2016	Cliente O570	OC1098	290,9	140	D00	 40.726,00 	0%	 40.726,00 
31/12/2016	Cliente O461	RL1219	309,9	53	D00	 16.424,70 	0%	 16.424,70 
